2025-07-10 14:31:05 | INFO     | trading_bot | Logger initialised — writing to logs/trading_bot_20250710.log
2025-07-10 14:31:05 | INFO     | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-07-10 14:31:05 | INFO     | trading_bot | CLI place-order — symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=100000 stop_price=None
2025-07-10 14:31:05 | DEBUG    | trading_bot.orders | Validated inputs — symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=100000 stop_price=None
2025-07-10 14:31:05 | INFO     | trading_bot.client | Placing order — symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=100000
2025-07-10 14:31:05 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '100000', 'timeInForce': 'GTC', 'timestamp': 1720614665219}
2025-07-10 14:31:06 | DEBUG    | trading_bot.client | ← HTTP 200  body={"orderId":3426601982,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-Cb7ytekJ9b2d1c3a4f","transactTime":1720614666044,"price":"100000","origQty":"0.01","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","avgPrice":"0"}
2025-07-10 14:31:06 | INFO     | trading_bot.client | Order placed successfully — orderId=3426601982 status=NEW
2025-07-10 14:31:06 | INFO     | trading_bot | Order result: {
  "orderId": 3426601982,
  "symbol": "BTCUSDT",
  "status": "NEW",
  "clientOrderId": "x-Cb7ytekJ9b2d1c3a4f",
  "price": "100000",
  "origQty": "0.01",
  "executedQty": "0",
  "avgPrice": "0",
  "type": "LIMIT",
  "side": "SELL",
  "timeInForce": "GTC"
}
